auction_year,parcel_year_records,certificate_records,publication_records,final_order_records,sold_records,county_acquisitions,paid_or_redeemed_records,administratively_pulled_records,ocr_publication_records,ocr_final_order_records,ocr_review_records,ocr_repaired_apn_records,total_selling_price,total_reported_excess
2019,70,0,0,70,35,3,0,0,0,70,2,1,667636.11,0.0
2020,66,0,0,58,24,2,20,9,0,58,21,4,961314.68,0.0
2021,102,0,97,101,12,0,48,5,97,101,7,1,964702.0,0.0
2022,65,0,64,46,10,1,23,0,64,46,11,1,1261060.78,0.0
2023,107,0,107,104,17,1,57,0,107,104,2,1,1716956.06,0.0
2024,123,119,119,114,16,0,68,3,119,114,7,5,2124070.0,776273.7300000001
2025,114,0,114,58,10,0,34,3,0,58,0,0,1647458.75,1507655.15
2026,143,143,0,0,0,0,0,0,0,0,0,0,0.0,0.0
