auction_year,sold_records,private_purchases,county_acquisitions,total_minimum_bid,total_selling_price,median_bid_multiple,excess_records_matched,total_reported_excess
2019,35,32,3,118300.11,667636.11,2.6279,0,0.0
2020,24,22,2,116343.68,961314.68,2.7251,0,0.0
2021,12,12,0,71299.0,964702.0,6.5068,0,0.0
2022,10,9,1,69132.78,1261060.78,14.7356,0,0.0
2023,17,16,1,132089.0,1716956.06,6.2296,0,0.0
2024,16,16,0,143093.0,2124070.0,12.8373,16,776273.73
2025,10,10,0,138226.0,1647458.75,11.4185,10,1507655.15
