auction_year,properties_sold,unique_parcels,total_minimum_bid,total_selling_price,median_selling_price,average_bid_multiple,median_bid_multiple,county_acquisitions,total_winning_bid_premium
2019,35,35,118300.11,667636.11,5700.0,4.4008,2.6279,3,549336.0
2020,24,24,116343.68,961314.68,8102.5,5.5852,2.7251,2,844971.0
2021,12,12,71299.0,964702.0,16100.5,9.1852,6.5068,0,893403.0
2022,10,10,69132.78,1261060.78,78600.0,15.4154,14.7356,1,1191928.0
2023,17,17,132089.0,1716956.06,24501.0,11.9482,6.2296,1,1584867.06
2024,16,16,143093.0,2124070.0,52446.0,13.3614,12.8373,0,1980977.0
2025,10,10,138226.0,1647458.75,117000.0,11.7767,11.4185,0,1509232.75
